source,target,weight,total_votes_agreed,total_votes_shared,source_party,target_party,period,topic
Alex Ahrendtsen,Rasmus Helveg Petersen,0.5555555555555556,25,45,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Nick Hækkerup,0.5294117647058824,9,17,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Merete Riisager,0.6,36,60,Dansk Folkeparti,Liberal Alliance,68,klima
Alex Ahrendtsen,Mette Reissmann,0.49230769230769234,32,65,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Marie Krarup,1.0,74,74,Dansk Folkeparti,Uden for folketingsgrupperne,68,klima
Alex Ahrendtsen,Hans Kristian Skibby,1.0,88,88,Dansk Folkeparti,Danmarksdemokraterne,68,klima
Alex Ahrendtsen,Steen Gade,0.52,39,75,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Anne Sina,0.5454545454545454,12,22,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Rosa Lund,0.44776119402985076,30,67,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Morten Østergaard,0.42857142857142855,9,21,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Kim Christiansen,1.0,53,53,Dansk Folkeparti,Dansk Folkeparti,68,klima
Alex Ahrendtsen,Lene Espersen,0.6666666666666666,20,30,Dansk Folkeparti,Det Konservative Folkeparti,68,klima
Alex Ahrendtsen,Christian Friis Bach,0.5,13,26,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Mette Frederiksen,0.5490196078431373,28,51,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Ida Auken,0.46511627906976744,20,43,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Per Stig Møller,0.6551724137931034,38,58,Dansk Folkeparti,Det Konservative Folkeparti,68,klima
Alex Ahrendtsen,Villum Christensen,0.6458333333333334,31,48,Dansk Folkeparti,Liberal Alliance,68,klima
Alex Ahrendtsen,Lars Dohn,0.42028985507246375,29,69,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Ellen Trane Nørby,0.7435897435897436,29,39,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Martin Henriksen (udpeget af DF),1.0,33,33,Dansk Folkeparti,Dansk Folkeparti,68,klima
Alex Ahrendtsen,Søren Pind,0.7368421052631579,28,38,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Marianne Jelved,0.4418604651162791,19,43,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Jakob Engel-Schmidt,0.68,17,25,Dansk Folkeparti,Moderaterne,68,klima
Alex Ahrendtsen,Pernille Skipper,0.43333333333333335,26,60,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Martin Geertsen,0.6206896551724138,36,58,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Pia Olsen Dyhr,0.5869565217391305,27,46,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Peter Skaarup,1.0,19,19,Dansk Folkeparti,Danmarksdemokraterne,68,klima
Alex Ahrendtsen,Kristian Thulesen Dahl,1.0,13,13,Dansk Folkeparti,Uden for folketingsgrupperne,68,klima
Alex Ahrendtsen,Carsten Hansen,0.49019607843137253,25,51,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Margrethe Vestager,0.6,15,25,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Simon Emil Ammitzbøll-Bille,0.5777777777777777,26,45,Dansk Folkeparti,Uden for folketingsgrupperne,68,klima
Alex Ahrendtsen,Helle Thorning-Schmidt,0.0,0,3,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Lars Barfoed,0.7446808510638298,35,47,Dansk Folkeparti,Det Konservative Folkeparti,68,klima
Alex Ahrendtsen,Mogens Jensen,0.5,16,32,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Sofie Carsten Nielsen,0.48333333333333334,29,60,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Andreas Steenberg,0.5066666666666667,38,75,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Hans Andersen,0.7012987012987013,54,77,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Anni Matthiesen,0.7631578947368421,58,76,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Pernille Rosenkrantz-Theil,0.46938775510204084,23,49,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Per Clausen,0.41379310344827586,24,58,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Jacob Jensen,0.6363636363636364,7,11,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Michael Aastrup Jensen,1.0,3,3,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Sara Olsvig,1.0,1,1,Dansk Folkeparti,Inuit Ataqatigiit,68,klima
Alex Ahrendtsen,Annette Lind,1.0,1,1,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Inger Støjberg,1.0,1,1,Dansk Folkeparti,Danmarksdemokraterne,68,klima
Alex Ahrendtsen,Bent Bøgsted,1.0,1,1,Dansk Folkeparti,Danmarksdemokraterne,68,klima
Alex Ahrendtsen,Lennart Damsbo-Andersen,1.0,1,1,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Julie Skovsby,1.0,1,1,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Mai Mercado,1.0,1,1,Dansk Folkeparti,Det Konservative Folkeparti,68,klima
Alex Ahrendtsen,Thyra Frank,1.0,1,1,Dansk Folkeparti,Liberal Alliance,68,klima
Alex Ahrendtsen,Zenia Stampe,1.0,1,1,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Fatma Øktem,1.0,1,1,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Karsten Nonbo,1.0,1,1,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Pernille Vigsø Bagge,1.0,1,1,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Mette Gjerskov,1.0,1,1,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Anne Baastrup,1.0,1,1,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Jane Heitmann,1.0,1,1,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Thomas Jensen,1.0,1,1,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Jonas Dahl,1.0,1,1,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Troels Lund Poulsen,1.0,1,1,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Jakob Ellemann-Jensen,1.0,1,1,Dansk Folkeparti,Venstre,68,klima
Bjarne Corydon,Karsten Lauritzen,0.5714285714285714,4,7,Socialdemokratiet,Venstre,68,klima
Bjarne Corydon,Henrik Sass Larsen,1.0,8,8,Socialdemokratiet,Socialdemokratiet,68,klima
Bjarne Corydon,Søren Espersen,0.75,3,4,Socialdemokratiet,Danmarksdemokraterne,68,klima
Bjarne Corydon,Astrid Krag,1.0,7,7,Socialdemokratiet,Socialdemokratiet,68,klima
Bjarne Corydon,Christian Juhl,0.7777777777777778,7,9,Socialdemokratiet,Enhedslisten,68,klima
Bjarne Corydon,Erling Bonnesen,0.6363636363636364,7,11,Socialdemokratiet,Venstre,68,klima
Bjarne Corydon,Liselott Blixt,0.2222222222222222,2,9,Socialdemokratiet,Uden for folketingsgrupperne,68,klima
Bjarne Corydon,Annette Vilhelmsen,1.0,10,10,Socialdemokratiet,Socialistisk Folkeparti,68,klima
Bjarne Corydon,Flemming Damgaard Larsen,0.6666666666666666,8,12,Socialdemokratiet,Venstre,68,klima
Bjarne Corydon,Nikolaj Villumsen,0.75,6,8,Socialdemokratiet,Enhedslisten,68,klima
Bjarne Corydon,Tom Behnke,0.5833333333333334,7,12,Socialdemokratiet,Det Konservative Folkeparti,68,klima
Bjarne Corydon,Karen Ellemann,0.75,6,8,Socialdemokratiet,Venstre,68,klima
Bjarne Corydon,Jeppe Mikkelsen,1.0,10,10,Socialdemokratiet,Radikale Venstre,68,klima
Bjarne Corydon,Christian Langballe (udpeget af DF),0.75,3,4,Socialdemokratiet,Dansk Folkeparti,68,klima
Bjarne Corydon,Torsten Schack Pedersen,0.7272727272727273,8,11,Socialdemokratiet,Venstre,68,klima
Bjarne Corydon,Mads Rørvig,0.6666666666666666,6,9,Socialdemokratiet,Venstre,68,klima
Bjarne Corydon,Brian Mikkelsen,0.6,6,10,Socialdemokratiet,Det Konservative Folkeparti,68,klima
Bjarne Corydon,Troels Ravn,1.0,7,7,Socialdemokratiet,Socialdemokratiet,68,klima
Bjarne Corydon,Özlem Sara Cekic,1.0,11,11,Socialdemokratiet,Socialistisk Folkeparti,68,klima
Bjarne Corydon,Marlene Borst Hansen,1.0,10,10,Socialdemokratiet,Radikale Venstre,68,klima
Bjarne Corydon,Finn Sørensen,0.8888888888888888,8,9,Socialdemokratiet,Enhedslisten,68,klima
Bjarne Corydon,Louise Elholm,0.8,8,10,Socialdemokratiet,Venstre,68,klima
Bjarne Corydon,Peter Christensen,0.7,7,10,Socialdemokratiet,Venstre,68,klima
Bjarne Corydon,Mike Legarth,0.6,6,10,Socialdemokratiet,Det Konservative Folkeparti,68,klima
Bjarne Corydon,Jesper Petersen,1.0,9,9,Socialdemokratiet,Socialdemokratiet,68,klima
Bjarne Corydon,René Christensen,0.2727272727272727,3,11,Socialdemokratiet,Dansk Folkeparti,68,klima
Bjarne Corydon,Ole Birk Olesen,0.4166666666666667,5,12,Socialdemokratiet,Liberal Alliance,68,klima
Bjarne Corydon,Morten Marinus,0.5,4,8,Socialdemokratiet,Dansk Folkeparti,68,klima
Bjarne Corydon,Jan E. Jørgensen,0.5714285714285714,4,7,Socialdemokratiet,Venstre,68,klima
Bjarne Corydon,Charlotte Dyremose,0.3333333333333333,1,3,Socialdemokratiet,Det Konservative Folkeparti,68,klima
Bjarne Corydon,Trine Pertou Mach,1.0,3,3,Socialdemokratiet,Enhedslisten,68,klima
Bjarne Corydon,Joachim B. Olsen,0.4444444444444444,4,9,Socialdemokratiet,Liberal Alliance,68,klima
Bjarne Corydon,Lotte Rod,1.0,5,5,Socialdemokratiet,Radikale Venstre,68,klima
Bjarne Corydon,Jens Henrik Thulesen Dahl,0.6666666666666666,4,6,Socialdemokratiet,Danmarksdemokraterne,68,klima
Bjarne Corydon,Trine Bramsen,1.0,11,11,Socialdemokratiet,Socialdemokratiet,68,klima
Bjarne Corydon,Dennis Flydtkjær,0.2727272727272727,3,11,Socialdemokratiet,Danmarksdemokraterne,68,klima
