vote_id,vote_typeid,afstemning_id,aktørid,afstemning_nummer,afstemning_vedtaget,Period,primary_topic,all_topics,møde_dato,møde_year_month,politician,party
1484468,2,5986,662,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Poul Nødgaard,Dansk Folkeparti
1484467,2,5986,193,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Karsten Nonbo,Venstre
1484466,1,5986,33,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Holger K. Nielsen,Socialistisk Folkeparti
1484464,2,5986,279,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Tina Nedergaard,Venstre
1484463,3,5986,153,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Per Stig Møller,Det Konservative Folkeparti
1484462,1,5986,1023,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Lone Møller (udpeget af S),Socialdemokratiet
1484461,3,5986,665,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Helge Adam Møller,Det Konservative Folkeparti
1484460,3,5986,1824,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Anders Møller,Uden for Folketingsgrupperne
1484456,3,5986,245,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Leif Mikkelsen,Venstre
1484454,3,5986,83,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Brian Mikkelsen,Det Konservative Folkeparti
1481540,1,5973,1557,4,True,65,,[],2004-10-19 13:15:00,2004-10,Bodil Kornbek,Kristendemokraterne
1481538,1,5973,235,4,True,65,,[],2004-10-19 13:15:00,2004-10,Jeppe Kofod,Socialdemokratiet
1481537,1,5973,1777,4,True,65,,[],2004-10-19 13:15:00,2004-10,Anita Knakkergaard,Dansk Folkeparti
1481534,3,5973,252,4,True,65,,[],2004-10-19 13:15:00,2004-10,Pia Kjærsgaard,Dansk Folkeparti
1481533,3,5973,1882,4,True,65,,[],2004-10-19 13:15:00,2004-10,Henriette Kjær,Det Konservative Folkeparti
1481541,3,5973,1745,4,True,65,,[],2004-10-19 13:15:00,2004-10,Ulrik Kragh,Venstre
1481530,1,5973,668,4,True,65,,[],2004-10-19 13:15:00,2004-10,Naser Khader,Radikale Venstre
1481528,1,5973,1912,4,True,65,,[],2004-10-19 13:15:00,2004-10,Ida Jørgensen,Radikale Venstre
1481527,1,5973,210,4,True,65,,[],2004-10-19 13:15:00,2004-10,Birgitte Josefsen,Venstre
1481526,3,5973,670,4,True,65,,[],2004-10-19 13:15:00,2004-10,Lars Emil Johansen,Siumut
1481525,3,5973,365,4,True,65,,[],2004-10-19 13:15:00,2004-10,Karen Jespersen,Socialdemokratiet
1481531,1,5973,1844,4,True,65,,[],2004-10-19 13:15:00,2004-10,Jens Kirk,Venstre
1481544,1,5973,211,4,True,65,,[],2004-10-19 13:15:00,2004-10,Jørn Dohrmann,Dansk Folkeparti
1481562,1,5973,1444,4,True,65,,[],2004-10-19 13:15:00,2004-10,Poul Henrik Hedeboe,Socialistisk Folkeparti
1481558,1,5973,265,4,True,65,,[],2004-10-19 13:15:00,2004-10,Eva Kjer Hansen,Venstre
1481557,3,5973,663,4,True,65,,[],2004-10-19 13:15:00,2004-10,Christian H. Hansen,Dansk Folkeparti
1481543,1,5973,216,4,True,65,,[],2004-10-19 13:15:00,2004-10,Mikkel Dencker,Dansk Folkeparti
1481552,3,5973,1845,4,True,65,,[],2004-10-19 13:15:00,2004-10,Søren Gade,Venstre
1481551,1,5973,1047,4,True,65,,[],2004-10-19 13:15:00,2004-10,Louise Frevert,Dansk Folkeparti
1481550,3,5973,138,4,True,65,,[],2004-10-19 13:15:00,2004-10,Mette Frederiksen,Socialdemokratiet
1481547,1,5973,131,4,True,65,,[],2004-10-19 13:15:00,2004-10,Lene Espersen,Det Konservative Folkeparti
1481546,1,5973,1805,4,True,65,,[],2004-10-19 13:15:00,2004-10,Inge-Lene Ebdrup,Venstre
1481545,1,5973,108,4,True,65,,[],2004-10-19 13:15:00,2004-10,Charlotte Dyremose,Det Konservative Folkeparti
1481520,1,5973,271,4,True,65,,[],2004-10-19 13:15:00,2004-10,Kristian Jensen,Venstre
1481519,1,5973,1914,4,True,65,,[],2004-10-19 13:15:00,2004-10,Jakob Jensen,Socialdemokratiet
1481491,1,5973,1455,4,True,65,,[],2004-10-19 13:15:00,2004-10,René Skau Björnsson,Socialdemokratiet
1481490,1,5973,1417,4,True,65,,[],2004-10-19 13:15:00,2004-10,Pia Boisen,Enhedslisten
1481496,1,5973,149,4,True,65,,[],2004-10-19 13:15:00,2004-10,Lars Barfoed,Det Konservative Folkeparti
1481487,1,5973,1755,4,True,65,,[],2004-10-19 13:15:00,2004-10,Colette L. Brix,Dansk Folkeparti
1481483,1,5973,77,4,True,65,,[],2004-10-19 13:15:00,2004-10,Kristian Thulesen Dahl,Dansk Folkeparti
1481482,1,5973,664,4,True,65,,[],2004-10-19 13:15:00,2004-10,Pia Christmas-Møller,Det Konservative Folkeparti
1481481,1,5973,94,4,True,65,,[],2004-10-19 13:15:00,2004-10,Peter Christensen,Venstre
1481480,3,5973,648,4,True,65,,[],2004-10-19 13:15:00,2004-10,Carina Christensen,Det Konservative Folkeparti
1481479,1,5973,198,4,True,65,,[],2004-10-19 13:15:00,2004-10,Anne Baastrup,Socialistisk Folkeparti
1481478,1,5973,183,4,True,65,,[],2004-10-19 13:15:00,2004-10,Bent Bøgsted,Dansk Folkeparti
1481497,1,5973,856,4,True,65,,[],2004-10-19 13:15:00,2004-10,Line Barfod,Enhedslisten
1481498,3,5973,1778,4,True,65,,[],2004-10-19 13:15:00,2004-10,Svend Auken,Socialdemokratiet
1481516,1,5973,55,4,True,65,,[],2004-10-19 13:15:00,2004-10,Marianne Jelved,Radikale Venstre
1481514,1,5973,678,4,True,65,,[],2004-10-19 13:15:00,2004-10,Klaus Hækkerup (udpeget af S),Socialdemokratiet
1481513,3,5973,1461,4,True,65,,[],2004-10-19 13:15:00,2004-10,Rikke Hvilshøj,Venstre
1481512,3,5973,1833,4,True,65,,[],2004-10-19 13:15:00,2004-10,Høgni Hoydal,Tjóðveldi
1481510,1,5973,364,4,True,65,,[],2004-10-19 13:15:00,2004-10,Birthe Rønn Hornbech,Venstre
1481509,1,5973,1371,4,True,65,,[],2004-10-19 13:15:00,2004-10,Per Dalgaard,Dansk Folkeparti
1481508,1,5973,1891,4,True,65,,[],2004-10-19 13:15:00,2004-10,Thomas Adelskov,Socialdemokratiet
1481505,1,5973,164,4,True,65,,[],2004-10-19 13:15:00,2004-10,Hans Andersen,Venstre
1481503,3,5973,126,4,True,65,,[],2004-10-19 13:15:00,2004-10,Kim Andersen (udpeget af V),Venstre
1481502,1,5973,258,4,True,65,,[],2004-10-19 13:15:00,2004-10,Poul Andersen,Socialdemokratiet
1481501,3,5973,351,4,True,65,,[],2004-10-19 13:15:00,2004-10,Sophie Hæstorp Andersen,Socialdemokratiet
1481477,1,5973,220,4,True,65,,[],2004-10-19 13:15:00,2004-10,Morten Bødskov,Socialdemokratiet
1481564,1,5973,1883,4,True,65,,[],2004-10-19 13:15:00,2004-10,Anne Grete Holmsgaard (udpeget af SF),Socialistisk Folkeparti
1481566,1,5973,1067,4,True,65,,[],2004-10-19 13:15:00,2004-10,Lykke Roed,Dansk Folkeparti
1481629,3,5973,1556,4,True,65,,[],2004-10-19 13:15:00,2004-10,Jann Sjursen,Kristendemokraterne
1481628,1,5973,1299,4,True,65,,[],2004-10-19 13:15:00,2004-10,Helle Sjelle,Det Konservative Folkeparti
1481627,1,5973,1280,4,True,65,,[],2004-10-19 13:15:00,2004-10,Niels Sindal,Socialdemokratiet
1481626,1,5973,1757,4,True,65,,[],2004-10-19 13:15:00,2004-10,Irene Simonsen,Venstre
1481623,1,5973,125,4,True,65,,[],2004-10-19 13:15:00,2004-10,Hans Christian Schmidt,Venstre
1481630,3,5973,1769,4,True,65,,[],2004-10-19 13:15:00,2004-10,Birthe Skaarup (udpeget af DF),Dansk Folkeparti
1481621,3,5973,725,4,True,65,,[],2004-10-19 13:15:00,2004-10,Preben Rudiengaard,Venstre
