aktørid,politician,party
1414,Peter Christian Christensen,Socialdemokratiet
10704,Kasper Krüger,Venstre
6685,Anders Broholm,Venstre
6701,Kenneth F. Christensen,Socialdemokratiet
371,Niels Christian Nielsen,Socialdemokratiet
8910,Karin Storgaard,Dansk Folkeparti
62,Annette Vilhelmsen,Socialistisk Folkeparti
6684,Annita á Fríðriksmørk,Tjóðveldisflokkurin
6687,Kaj Leo Johannesen,Sambandsflokkurin
2156,Gitte Seeberg,Uden for folketingsgrupperne
262,Sjúrður Skaale,Javnaðarflokkurin
6686,Torben Lund,Socialistisk Folkeparti
1392,Pernille Søndergaard,Enhedslisten
1201,Mogens Camre,Dansk Folkeparti
162,Karina Adsbøl,Danmarksdemokraterne
18,Alex Ahrendtsen,Dansk Folkeparti
161,Liv Holm Andersen,Radikale Venstre
135,Mette Bock,Liberal Alliance
118,Trine Bramsen,Socialdemokratiet
122,Stine Brix,Enhedslisten
113,Jens Henrik Thulesen Dahl,Danmarksdemokraterne
139,Thomas Danielsen,Venstre
263,Mette Hjermind Dencker,Dansk Folkeparti
225,Uffe Elbæk,Alternativet
278,Karin Gaardsted,Socialdemokratiet
286,Ane Halsboe-Jørgensen,Socialdemokratiet
200,Jane Heitmann,Venstre
189,Mai Mercado,Det Konservative Folkeparti
127,Preben Bang Henriksen,Venstre
209,Camilla Hersom,Radikale Venstre
213,Jens Joel,Socialdemokratiet
160,Jan Johansen,Socialdemokratiet
102,Jan E. Jørgensen,Venstre
101,Morten Marinus,Dansk Folkeparti
79,Christian Langballe (udpeget af DF),Dansk Folkeparti
266,Rasmus Horn Langhoff,Socialdemokratiet
261,Esben Lunde Larsen,Venstre
181,Annette Lind,Socialdemokratiet
156,Lone Loklindt,Radikale Venstre
86,Marlene Borst Hansen,Radikale Venstre
168,Anni Matthiesen,Venstre
75,Jeppe Mikkelsen,Radikale Venstre
99,Ole Birk Olesen,Liberal Alliance
111,Joachim B. Olsen,Liberal Alliance
219,Lisbeth Bech-Nielsen,Socialistisk Folkeparti
112,Lotte Rod,Radikale Venstre
69,Pernille Skipper,Enhedslisten
191,Zenia Stampe,Radikale Venstre
87,Finn Sørensen,Enhedslisten
68,Nikolaj Villumsen,Enhedslisten
192,Fatma Øktem,Venstre
304,Jacob Lund,Socialdemokratiet
281,Finn Thranum,Venstre
214,Jeppe Bruus,Socialdemokratiet
305,Jens Ejner Christensen,Venstre
268,Helle Løvgreen Mølvig,Radikale Venstre
23,Bjarne Corydon,Socialdemokratiet
159,Lars Dohn,Enhedslisten
44,Henning Hyllested,Enhedslisten
39,Christian Juhl,Enhedslisten
110,Rosa Lund,Enhedslisten
190,Thyra Frank,Liberal Alliance
73,Merete Riisager,Liberal Alliance
59,Rasmus Helveg Petersen,Radikale Venstre
123,Andreas Steenberg,Radikale Venstre
207,Jakob Ellemann-Jensen,Venstre
78,Marie Krarup,Uden for folketingsgrupperne
208,Simon Kollerup,Socialdemokratiet
74,Mette Reissmann,Socialdemokratiet
100,Sofie Carsten Nielsen,Radikale Venstre
88,Martin Geertsen,Venstre
13,Sara Olsvig,Inuit Ataqatigiit
103,Anne Sina,Socialdemokratiet
57,Jakob Engel-Schmidt,Moderaterne
302,Benedikte Kiær,Det Konservative Folkeparti
353,Lykke Friis,Venstre
363,Jacob Bjerregaard,Socialdemokratiet
1503,Hans Vestager,Radikale Venstre
1513,Kisser Franciska Lehnert,Liberal Alliance
378,Merete Dea Larsen,Dansk Folkeparti
366,Daniel Toft Jakobsen,Socialdemokratiet
344,Linda Kristiansen,Radikale Venstre
202,Peder Christensen,Socialdemokratiet
282,Sanne Bjørn,Radikale Venstre
277,Johan Lund Olsen,Inuit Ataqatigiit
376,Annika Smith,Socialistisk Folkeparti
354,Mette Boye,Socialistisk Folkeparti
370,Thomas Medom,Socialistisk Folkeparti
367,Karen Touborg,Socialistisk Folkeparti
343,Mie Bergmann,Radikale Venstre
276,Pernille Boye Koch,Radikale Venstre
12284,Marie-Louise Andreassen,Radikale Venstre
12285,Ida Damborg,Socialistisk Folkeparti
12283,Aksel V. Johannesen,Javnaðarflokkurin
1334,Peter Laigaard,Liberal Alliance
13727,Sarah Nørris,Enhedslisten
13836,Helge Vagn Jacobsen,Radikale Venstre
13843,Bente Bendix,Venstre
14000,Nick Nielsen,Siumut
10107,Bruno Jerup,Enhedslisten
14372,Susanne Eilersen (udpeget af DF),Dansk Folkeparti
1504,Laura Lindahl,Liberal Alliance
167,Dan Jørgensen,Socialdemokratiet
15793,Mette Abildgaard,Det Konservative Folkeparti
15779,Carsten Bach,Liberal Alliance
15782,Britt Bager,Det Konservative Folkeparti
15774,Lise Bech,Danmarksdemokraterne
15767,Pernille Bendixen,Dansk Folkeparti
15780,Tilde Bork,Dansk Folkeparti
15764,Jan Rytkjær Callesen,Dansk Folkeparti
15766,Erik Christensen (udpeget af S),Socialdemokratiet
15800,Henrik Dahl,Liberal Alliance
15777,Pelle Dragsted,Enhedslisten
15761,Karina Due,Dansk Folkeparti
15787,Kaare Dybvad Bek,Socialdemokratiet
15773,Christina Egelund,Moderaterne
15791,Eva Flyvholm,Enhedslisten
15783,Josephine Fock,Alternativet
15786,René Gade,Alternativet
15775,Torsten Gejl,Alternativet
15769,Maria Reumert Gjerding,Enhedslisten
15781,Claus Kvist Hansen,Dansk Folkeparti
15789,Jeppe Jakobsen,Dansk Folkeparti
15795,May-Britt Kattrup,Liberal Alliance
15790,Marcus Knuth,Det Konservative Folkeparti
15757,Aaja Chemnitz,Inuit Ataqatigiit
15771,Morten Løkkegaard,Venstre
15762,Christian Rabjerg Madsen,Socialdemokratiet
15778,Carolina Magdalene Maier,Alternativet
15788,Jacob Mark,Socialistisk Folkeparti
15799,Roger Courage Matthisen,Alternativet
15796,Jan Erik Messmann,Dansk Folkeparti
15792,Rasmus Nordqvist,Socialistisk Folkeparti
15784,Søren Pape Poulsen,Det Konservative Folkeparti
15797,Christian Poll,Alternativet
15763,Peter Kofod,Dansk Folkeparti
15772,Ulla Sandbæk,Alternativet
15768,Pernille Schnoor,Alternativet
15785,Jakob Sølvhøj,Enhedslisten
15770,Mattias Tesfaye,Socialdemokratiet
15776,Peter Hummelgaard,Socialdemokratiet
15794,Trine Torp,Socialistisk Folkeparti
15798,Dorthe Ullemose,Dansk Folkeparti
15760,Lea Wermelin,Socialdemokratiet
15765,Carl Holst,Venstre
15758,Aleqa Hammond,Nunatta Qitornai
15881,Magni Arge,Tjóðveldi
16072,Carsten Kudsk,Dansk Folkeparti
16074,Steen Holm Iversen,Liberal Alliance
16073,Rasmus Vestergaard Madsen,Enhedslisten
16092,Sisse Marie Welling,Socialistisk Folkeparti
16176,Nikolaj Amstrup,Alternativet
16180,Kasper Roug,Socialdemokratiet
16351,Malte Larsen,Socialdemokratiet
16374,Anders Johansson,Det Konservative Folkeparti
16428,Emrah Tuncer,Radikale Venstre
16473,Malou Lunderød,Socialdemokratiet
16503,Anne Paulin,Socialdemokratiet
16582,Peder Hvelplund,Enhedslisten
16603,Sarah Glerup,Enhedslisten
16610,Lars Aslan Rasmussen,Socialdemokratiet
6737,Johannes Lebech,Radikale Venstre
