voting_id,party,politician,vote_type,Period
9887,Enhedslisten,Søren Egge Rasmussen,1,71
9887,Det Konservative Folkeparti,Rasmus Jarlov,1,71
9887,Enhedslisten,Jette Gottlieb,1,71
9887,Det Konservative Folkeparti,Per Larsen,1,71
9887,Socialdemokratiet,Lea Wermelin,2,71
9887,Dansk Folkeparti,Peter Kofod,2,71
9887,Socialdemokratiet,Mattias Tesfaye,2,71
9887,Danmarksdemokraterne,Lise Bech,2,71
9887,Socialdemokratiet,Peter Hummelgaard,2,71
9887,Socialdemokratiet,Malte Larsen,2,71
9887,Socialdemokratiet,Anne Paulin,2,71
9887,Socialistisk Folkeparti,Kirsten Normann Andersen,1,71
9887,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,1,71
9887,Venstre,Kim Valentin,2,71
9887,Venstre,Christoffer Aagaard Melson,2,71
9887,Venstre,Heidi Bank,2,71
9887,Venstre,Marie Bjerre,2,71
9888,Dansk Folkeparti,Alex Ahrendtsen,2,71
9888,Danmarksdemokraterne,Søren Espersen,2,71
9888,Venstre,Erling Bonnesen,2,71
9888,Socialdemokratiet,Mette Reissmann,2,71
9888,Venstre,Torsten Schack Pedersen,2,71
9888,Danmarksdemokraterne,Hans Kristian Skibby,2,71
9888,Venstre,Louise Elholm,2,71
9888,Socialdemokratiet,Jesper Petersen,2,71
9888,Liberal Alliance,Ole Birk Olesen,2,71
9888,Venstre,Jan E. Jørgensen,2,71
9888,Enhedslisten,Trine Pertou Mach,1,71
9888,Radikale Venstre,Lotte Rod,2,71
9888,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,2,71
9888,Socialdemokratiet,Trine Bramsen,2,71
9888,Danmarksdemokraterne,Dennis Flydtkjær,2,71
9888,Socialdemokratiet,Benny Engelbrecht,2,71
9888,Venstre,Hans Christian Schmidt,2,71
9888,Venstre,Preben Bang Henriksen,2,71
9888,Venstre,Sophie Løhde,2,71
9888,Venstre,Christian Friis Bach,2,71
9888,Socialdemokratiet,Ida Auken,2,71
9888,Socialdemokratiet,Mogens Jensen,2,71
9888,Danmarksdemokraterne,Karina Adsbøl,2,71
9888,Venstre,Hans Andersen,2,71
9888,Venstre,Anni Matthiesen,2,71
9888,Venstre,Michael Aastrup Jensen,2,71
